"MAT1MO" "MAT3MO" "MAT6MO" "MAT1YR" "MAT2YR" "MAT3YR" "MAT5YR" "MAT7YR" "MAT10YR" "MAT20YR" "MAT30YR"
"2006-03-09" 4.44 4.6 4.77 4.76 4.72 4.77 4.75 4.74 4.74 4.91 4.72
"2006-03-10" 4.46 4.62 4.78 4.77 4.74 4.8 4.77 4.76 4.76 4.93 4.74
"2006-03-13" 4.45 4.61 4.83 4.8 4.74 4.81 4.78 4.78 4.77 4.95 4.77
"2006-03-14" 4.49 4.59 4.8 4.75 4.66 4.72 4.68 4.69 4.71 4.89 4.71
"2006-03-15" 4.5 4.63 4.81 4.77 4.69 4.72 4.69 4.7 4.73 4.93 4.75
"2006-03-16" 4.49 4.62 4.77 4.72 4.62 4.62 4.6 4.61 4.65 4.86 4.7
"2006-03-17" 4.5 4.64 4.78 4.74 4.65 4.64 4.62 4.63 4.68 4.89 4.72
"2006-03-20" 4.56 4.66 4.79 4.74 4.65 4.62 4.61 4.62 4.66 4.87 4.7
"2006-03-21" 4.67 4.69 4.82 4.79 4.72 4.71 4.68 4.69 4.71 4.91 4.74
"2006-03-22" 4.67 4.69 4.81 4.78 4.74 4.72 4.69 4.7 4.7 4.91 4.73
"2006-03-23" 4.66 4.67 4.81 4.8 4.77 4.74 4.73 4.73 4.73 4.93 4.75
"2006-03-24" 4.66 4.65 4.78 4.76 4.72 4.67 4.66 4.66 4.67 4.87 4.7
"2006-03-27" 4.66 4.63 4.8 4.77 4.72 4.69 4.69 4.69 4.7 4.91 4.73
"2006-03-28" 4.71 4.65 4.83 4.82 4.81 4.79 4.79 4.79 4.79 4.98 4.8
"2006-03-29" 4.69 4.63 4.83 4.83 4.82 4.81 4.79 4.79 4.81 5.02 4.84
"2006-03-30" 4.67 4.61 4.84 4.84 4.84 4.84 4.83 4.83 4.86 5.07 4.89
"2006-03-31" 4.65 4.63 4.81 4.82 4.82 4.83 4.82 4.83 4.86 5.07 4.9
"2006-04-03" 4.66 4.67 4.86 4.86 4.86 4.85 4.85 4.86 4.88 5.08 4.9
"2006-04-04" 4.64 4.68 4.85 4.85 4.84 4.83 4.82 4.84 4.87 5.09 4.91
"2006-04-05" 4.62 4.67 4.83 4.82 4.81 4.79 4.79 4.8 4.84 5.07 4.9
"2006-04-06" 4.65 4.68 4.85 4.85 4.84 4.83 4.84 4.86 4.9 5.13 4.96
"2006-04-07" 4.64 4.69 4.85 4.86 4.89 4.89 4.89 4.92 4.97 5.2 5.04
"2006-04-10" 4.64 4.69 4.89 4.89 4.89 4.89 4.89 4.92 4.97 5.21 5.04
"2006-04-11" 4.63 4.7 4.88 4.88 4.88 4.86 4.86 4.88 4.93 5.17 5
"2006-04-12" 4.62 4.7 4.91 4.91 4.91 4.9 4.91 4.93 4.98 5.22 5.05
"2006-04-13" 4.54 4.7 4.94 4.95 4.96 4.96 4.97 5 5.05 5.28 5.11
"2006-04-17" 4.55 4.72 4.93 4.93 4.91 4.91 4.93 4.96 5.01 5.25 5.08
"2006-04-18" 4.54 4.72 4.9 4.88 4.84 4.86 4.87 4.92 4.99 5.23 5.07
"2006-04-19" 4.54 4.73 4.9 4.89 4.86 4.87 4.91 4.96 5.04 5.29 5.13
"2006-04-20" 4.55 4.73 4.9 4.9 4.89 4.89 4.92 4.97 5.04 5.29 5.14
"2006-04-21" 4.58 4.75 4.9 4.9 4.9 4.89 4.92 4.95 5.01 5.25 5.1
"2006-04-24" 4.58 4.75 4.93 4.92 4.89 4.88 4.9 4.94 4.99 5.22 5.07
"2006-04-25" 4.63 4.79 4.96 4.95 4.95 4.94 4.98 5.02 5.07 5.31 5.16
"2006-04-26" 4.65 4.79 4.98 4.98 4.99 4.99 5.02 5.06 5.12 5.34 5.18
"2006-04-27" 4.64 4.78 4.93 4.93 4.91 4.92 4.95 5 5.09 5.32 5.18
"2006-04-28" 4.6 4.77 4.91 4.9 4.87 4.87 4.92 4.98 5.07 5.31 5.17
"2006-05-01" 4.61 4.82 4.98 4.97 4.94 4.95 4.99 5.04 5.14 5.38 5.23
"2006-05-02" 4.66 4.81 4.98 4.96 4.92 4.94 4.98 5.03 5.12 5.35 5.2
"2006-05-03" 4.65 4.82 5 4.98 4.94 4.96 5.01 5.06 5.15 5.38 5.24
"2006-05-04" 4.61 4.8 5.01 5 4.97 4.99 5.03 5.08 5.16 5.38 5.23
"2006-05-05" 4.61 4.83 5 4.98 4.94 4.96 4.99 5.03 5.12 5.35 5.2
"2006-05-08" 4.64 4.87 5.03 5.01 4.97 4.99 5.01 5.05 5.12 5.34 5.19
"2006-05-09" 4.72 4.88 5.03 5.01 4.97 4.98 5.01 5.05 5.13 5.35 5.2
"2006-05-10" 4.69 4.88 5.03 5.02 5.01 5 5.03 5.06 5.13 5.34 5.19
"2006-05-11" 4.64 4.82 4.99 4.99 4.99 5.01 5.04 5.07 5.14 5.38 5.23
"2006-05-12" 4.64 4.85 5 5 5.01 5.03 5.08 5.12 5.19 5.44 5.29
"2006-05-15" 4.68 4.86 5.02 5.01 4.99 5.01 5.04 5.08 5.15 5.41 5.26
"2006-05-16" 4.76 4.83 4.99 4.98 4.96 4.97 4.99 5.03 5.1 5.36 5.22
"2006-05-17" 4.75 4.83 5 4.99 4.97 5 5.03 5.08 5.16 5.42 5.28
"2006-05-18" 4.75 4.83 4.98 4.96 4.94 4.94 4.96 5 5.08 5.32 5.18
"2006-05-19" 4.75 4.82 5 4.98 4.96 4.95 4.96 4.98 5.05 5.28 5.14
"2006-05-22" 4.74 4.83 5.02 4.99 4.94 4.94 4.94 4.96 5.04 5.28 5.13
"2006-05-23" 4.75 4.84 5.02 5 4.97 4.97 4.98 5 5.07 5.3 5.16
"2006-05-24" 4.74 4.82 4.99 4.97 4.94 4.92 4.93 4.96 5.03 5.27 5.13
"2006-05-25" 4.74 4.82 5.01 5 4.98 4.97 4.97 4.99 5.07 5.31 5.17
"2006-05-26" 4.75 4.84 5.02 5 4.96 4.94 4.95 4.97 5.06 5.3 5.16
"2006-05-30" 4.76 4.84 5.04 5.02 4.99 4.99 4.99 5.01 5.09 5.33 5.19
"2006-05-31" 4.75 4.86 5.08 5.07 5.04 5.03 5.04 5.06 5.12 5.35 5.21
"2006-06-01" 4.75 4.83 5.06 5.05 5.04 5.02 5.03 5.05 5.11 5.34 5.2
"2006-06-02" 4.75 4.81 5.01 4.98 4.92 4.91 4.9 4.92 5 5.24 5.1
"2006-06-05" 4.77 4.85 5.04 5.02 4.99 4.95 4.95 4.97 5.02 5.24 5.1
"2006-06-06" 4.8 4.86 5.05 5.03 4.99 4.96 4.95 4.96 5.01 5.22 5.08
"2006-06-07" 4.8 4.86 5.06 5.05 5.02 4.99 4.97 4.98 5.02 5.23 5.09
"2006-06-08" 4.78 4.87 5.06 5.04 5.01 4.97 4.95 4.96 5 5.2 5.06
"2006-06-09" 4.78 4.88 5.07 5.05 5.01 4.96 4.95 4.95 4.98 5.17 5.03
"2006-06-12" 4.78 4.93 5.13 5.09 5.02 4.97 4.95 4.96 4.99 5.17 5.03
"2006-06-13" 4.72 4.89 5.13 5.09 5.02 4.96 4.93 4.94 4.97 5.15 5.01
"2006-06-14" 4.68 4.9 5.17 5.15 5.11 5.06 5.03 5.04 5.05 5.23 5.09
"2006-06-15" 4.6 4.85 5.16 5.15 5.14 5.1 5.08 5.08 5.1 5.27 5.13
"2006-06-16" 4.63 4.88 5.19 5.18 5.16 5.13 5.1 5.1 5.13 5.31 5.17
"2006-06-19" 4.67 4.93 5.25 5.23 5.19 5.15 5.12 5.13 5.14 5.32 5.18
"2006-06-20" 4.7 4.92 5.24 5.23 5.19 5.16 5.13 5.14 5.15 5.33 5.19
"2006-06-21" 4.66 4.92 5.23 5.22 5.2 5.16 5.14 5.14 5.16 5.32 5.19
"2006-06-22" 4.55 4.92 5.24 5.24 5.23 5.21 5.18 5.18 5.2 5.37 5.23
"2006-06-23" 4.61 4.98 5.27 5.27 5.27 5.23 5.21 5.21 5.23 5.4 5.26
"2006-06-26" 4.73 5.03 5.32 5.3 5.27 5.25 5.22 5.23 5.25 5.42 5.28
"2006-06-27" 4.86 5.05 5.31 5.28 5.24 5.22 5.19 5.2 5.21 5.38 5.24
"2006-06-28" 4.79 5.01 5.31 5.3 5.29 5.26 5.23 5.23 5.25 5.42 5.28
"2006-06-29" 4.68 5.01 5.26 5.25 5.21 5.19 5.17 5.18 5.22 5.39 5.26
"2006-06-30" 4.54 5.01 5.24 5.21 5.16 5.13 5.1 5.11 5.15 5.31 5.19
"2006-07-03" 4.69 5.08 5.31 5.26 5.17 5.14 5.11 5.12 5.15 5.33 5.2
"2006-07-05" 4.81 5.01 5.32 5.29 5.24 5.21 5.19 5.19 5.23 5.39 5.27
"2006-07-06" 4.8 5 5.31 5.28 5.22 5.17 5.15 5.16 5.19 5.35 5.23
"2006-07-07" 4.83 5.02 5.28 5.25 5.17 5.13 5.1 5.1 5.14 5.29 5.18
"2006-07-10" 4.86 5.06 5.32 5.27 5.17 5.13 5.1 5.1 5.13 5.29 5.17
"2006-07-11" 4.9 5.05 5.3 5.26 5.17 5.11 5.07 5.08 5.1 5.26 5.14
"2006-07-12" 4.92 5.06 5.3 5.26 5.17 5.12 5.08 5.09 5.1 5.26 5.14
"2006-07-13" 4.88 5.05 5.27 5.22 5.12 5.07 5.04 5.05 5.08 5.23 5.12
"2006-07-14" 4.87 5.06 5.26 5.2 5.08 5.05 5.02 5.03 5.07 5.23 5.11
"2006-07-17" 4.91 5.11 5.3 5.24 5.12 5.07 5.04 5.04 5.07 5.23 5.1
"2006-07-18" 4.94 5.13 5.33 5.28 5.19 5.13 5.1 5.1 5.13 5.29 5.16
"2006-07-19" 4.91 5.11 5.28 5.22 5.12 5.06 5.02 5.02 5.06 5.22 5.1
"2006-07-20" 4.87 5.08 5.24 5.18 5.06 5.01 4.98 4.99 5.03 5.2 5.08
"2006-07-21" 4.88 5.1 5.25 5.19 5.08 5.02 4.99 5 5.05 5.21 5.1
"2006-07-24" 4.91 5.1 5.27 5.21 5.1 5.03 4.99 5 5.05 5.22 5.11
"2006-07-25" 5.01 5.13 5.25 5.21 5.11 5.05 5.02 5.03 5.07 5.24 5.13
"2006-07-26" 5 5.11 5.21 5.16 5.06 5.02 4.99 5 5.04 5.22 5.1
"2006-07-27" 5.02 5.1 5.2 5.16 5.07 5.01 4.98 5 5.07 5.22 5.11
"2006-07-28" 4.98 5.07 5.15 5.1 4.98 4.94 4.92 4.94 5 5.17 5.07
"2006-07-31" 5.02 5.1 5.18 5.11 4.97 4.93 4.91 4.93 4.99 5.17 5.07
"2006-08-01" 5.2 5.12 5.18 5.11 4.97 4.91 4.9 4.92 4.99 5.17 5.07
"2006-08-02" 5.2 5.1 5.18 5.11 4.97 4.9 4.88 4.9 4.96 5.14 5.05
"2006-08-03" 5.18 5.11 5.19 5.12 4.98 4.92 4.9 4.91 4.96 5.13 5.04
"2006-08-04" 5.15 5.09 5.15 5.07 4.91 4.86 4.84 4.85 4.91 5.09 5
"2006-08-07" 5.18 5.12 5.2 5.12 4.96 4.89 4.86 4.87 4.93 5.09 5
"2006-08-08" 5.19 5.1 5.16 5.08 4.91 4.86 4.85 4.86 4.93 5.11 5.02
"2006-08-09" 5.14 5.07 5.15 5.07 4.91 4.88 4.86 4.87 4.92 5.13 5.05
"2006-08-10" 5.12 5.05 5.16 5.08 4.93 4.89 4.86 4.87 4.93 5.15 5.06
"2006-08-11" 5.12 5.07 5.2 5.12 4.96 4.93 4.91 4.92 4.97 5.18 5.09
"2006-08-14" 5.15 5.12 5.24 5.17 5.01 4.98 4.95 4.96 5 5.21 5.12
"2006-08-15" 5.18 5.1 5.19 5.11 4.94 4.91 4.88 4.89 4.93 5.13 5.05
"2006-08-16" 5.16 5.07 5.16 5.06 4.87 4.83 4.81 4.82 4.87 5.08 5
"2006-08-17" 5.15 5.09 5.18 5.08 4.89 4.84 4.82 4.82 4.87 5.08 5
"2006-08-18" 5.13 5.1 5.19 5.08 4.87 4.82 4.78 4.78 4.84 5.05 4.97
"2006-08-21" 5.15 5.11 5.18 5.07 4.85 4.79 4.77 4.77 4.82 5.04 4.96
"2006-08-22" 5.17 5.1 5.17 5.07 4.87 4.79 4.77 4.77 4.82 5.03 4.95
"2006-08-23" 5.17 5.09 5.17 5.07 4.87 4.81 4.77 4.78 4.82 5.03 4.95
"2006-08-24" 5.16 5.09 5.17 5.07 4.88 4.8 4.78 4.78 4.81 5.02 4.94
"2006-08-25" 5.17 5.11 5.16 5.06 4.86 4.79 4.76 4.76 4.79 5.01 4.93
"2006-08-28" 5.17 5.1 5.18 5.08 4.88 4.8 4.77 4.77 4.8 5.01 4.94
"2006-08-29" 5.19 5.07 5.16 5.06 4.87 4.79 4.77 4.77 4.79 5 4.93
"2006-08-30" 5.16 5.05 5.14 5.03 4.83 4.76 4.72 4.72 4.76 4.98 4.91
"2006-08-31" 5.12 5.05 5.11 5.01 4.79 4.71 4.7 4.7 4.74 4.95 4.88
"2006-09-01" 5.07 5.02 5.1 4.99 4.77 4.7 4.68 4.69 4.73 4.95 4.87
"2006-09-05" 4.96 5 5.13 5.02 4.8 4.73 4.73 4.74 4.78 5.01 4.93
"2006-09-06" 4.89 4.97 5.12 5.02 4.82 4.76 4.75 4.76 4.8 5.02 4.95
"2006-09-07" 4.89 4.97 5.13 5.02 4.82 4.76 4.74 4.75 4.8 5.01 4.94
"2006-09-08" 4.83 4.93 5.1 5 4.8 4.73 4.71 4.72 4.78 4.99 4.92
"2006-09-11" 4.85 4.93 5.13 5.03 4.83 4.77 4.74 4.75 4.8 5.02 4.95
"2006-09-12" 4.75 4.9 5.12 5.02 4.82 4.74 4.71 4.73 4.78 4.98 4.91
"2006-09-13" 4.78 4.91 5.08 4.99 4.8 4.72 4.7 4.72 4.77 4.97 4.9
"2006-09-14" 4.81 4.95 5.12 5.02 4.83 4.77 4.74 4.75 4.79 4.99 4.92
"2006-09-15" 4.77 4.96 5.11 5.03 4.87 4.79 4.76 4.77 4.8 5 4.92
"2006-09-18" 4.76 4.94 5.12 5.04 4.88 4.8 4.77 4.78 4.81 5.01 4.93
"2006-09-19" 4.72 4.94 5.09 4.99 4.79 4.72 4.69 4.69 4.74 4.94 4.86
"2006-09-20" 4.73 4.93 5.09 5 4.81 4.73 4.7 4.7 4.73 4.93 4.85
"2006-09-21" 4.72 4.92 5.04 4.93 4.71 4.61 4.6 4.61 4.65 4.86 4.78
"2006-09-22" 4.73 4.93 5.02 4.9 4.67 4.58 4.55 4.56 4.6 4.82 4.74
"2006-09-25" 4.72 4.88 5.01 4.88 4.63 4.54 4.51 4.51 4.56 4.77 4.7
"2006-09-26" 4.64 4.88 5.02 4.91 4.68 4.59 4.55 4.55 4.59 4.79 4.71
"2006-09-27" 4.6 4.88 5.01 4.89 4.66 4.59 4.56 4.56 4.6 4.81 4.73
"2006-09-28" 4.53 4.87 5.01 4.9 4.68 4.6 4.57 4.58 4.63 4.84 4.76
"2006-09-29" 4.6 4.89 5.02 4.91 4.71 4.62 4.59 4.6 4.64 4.84 4.77
"2006-10-02" 4.67 4.88 5.02 4.9 4.66 4.59 4.56 4.57 4.62 4.83 4.76
"2006-10-03" 4.71 4.9 5.02 4.9 4.67 4.59 4.56 4.57 4.62 4.83 4.76
"2006-10-04" 4.78 4.93 5 4.87 4.6 4.53 4.5 4.52 4.57 4.79 4.72
"2006-10-05" 4.81 4.94 5.03 4.9 4.65 4.58 4.55 4.56 4.61 4.84 4.76
"2006-10-06" 4.76 4.95 5.05 4.94 4.74 4.67 4.64 4.65 4.7 4.92 4.84
"2006-10-10" 4.81 5 5.1 5 4.82 4.75 4.71 4.71 4.75 4.96 4.88
"2006-10-11" 4.9 5.02 5.11 5.02 4.85 4.78 4.75 4.75 4.78 4.99 4.91
"2006-10-12" 4.93 5.06 5.13 5.03 4.85 4.78 4.74 4.74 4.79 4.99 4.91
"2006-10-13" 4.93 5.05 5.13 5.05 4.87 4.79 4.77 4.77 4.81 5.02 4.94
"2006-10-16" 5.01 5.09 5.15 5.05 4.85 4.78 4.76 4.76 4.79 5 4.92
"2006-10-17" 5.06 5.09 5.15 5.04 4.83 4.77 4.73 4.74 4.78 4.99 4.91
"2006-10-18" 5.05 5.09 5.14 5.04 4.85 4.77 4.74 4.73 4.77 4.97 4.89
"2006-10-19" 5.02 5.1 5.16 5.05 4.85 4.79 4.75 4.75 4.79 4.99 4.91
"2006-10-20" 5 5.09 5.14 5.05 4.87 4.8 4.76 4.76 4.79 4.99 4.91
"2006-10-23" 5.05 5.12 5.18 5.09 4.9 4.84 4.8 4.8 4.83 5.03 4.95
"2006-10-24" 5.15 5.13 5.19 5.1 4.91 4.84 4.81 4.81 4.83 5.03 4.95
"2006-10-25" 5.14 5.12 5.18 5.08 4.88 4.79 4.75 4.75 4.78 4.98 4.89
"2006-10-26" 5.16 5.12 5.18 5.06 4.81 4.74 4.69 4.7 4.73 4.93 4.84
"2006-10-27" 5.14 5.11 5.15 5.02 4.76 4.68 4.64 4.64 4.68 4.88 4.8
"2006-10-30" 5.15 5.1 5.16 5.03 4.78 4.68 4.64 4.64 4.68 4.88 4.78
"2006-10-31" 5.18 5.08 5.13 4.99 4.71 4.62 4.57 4.57 4.61 4.81 4.72
"2006-11-01" 5.19 5.07 5.1 4.95 4.66 4.56 4.52 4.52 4.57 4.77 4.68
"2006-11-02" 5.18 5.07 5.13 4.97 4.67 4.6 4.55 4.56 4.6 4.8 4.72
"2006-11-03" 5.18 5.09 5.18 5.06 4.82 4.74 4.7 4.7 4.72 4.9 4.81
"2006-11-06" 5.17 5.09 5.18 5.06 4.82 4.74 4.69 4.69 4.71 4.89 4.79
"2006-11-07" 5.2 5.08 5.16 5.03 4.77 4.69 4.63 4.63 4.66 4.85 4.76
"2006-11-08" 5.2 5.1 5.16 5.02 4.75 4.65 4.61 4.61 4.64 4.82 4.73
"2006-11-09" 5.19 5.09 5.16 5.02 4.75 4.66 4.6 4.6 4.62 4.82 4.73
"2006-11-10" 5.2 5.1 5.16 5.01 4.73 4.63 4.57 4.57 4.59 4.78 4.69
"2006-11-13" 5.17 5.09 5.16 5.03 4.76 4.66 4.6 4.6 4.61 4.8 4.71
"2006-11-14" 5.24 5.09 5.15 5.01 4.74 4.63 4.57 4.57 4.57 4.76 4.66
"2006-11-15" 5.24 5.09 5.16 5.04 4.8 4.69 4.62 4.62 4.61 4.8 4.69
"2006-11-16" 5.22 5.09 5.17 5.06 4.85 4.75 4.67 4.66 4.66 4.84 4.74
"2006-11-17" 5.19 5.09 5.14 5.02 4.76 4.67 4.6 4.6 4.61 4.79 4.69
"2006-11-20" 5.19 5.08 5.15 5.02 4.76 4.66 4.6 4.59 4.6 4.78 4.68
"2006-11-21" 5.26 5.07 5.15 5.02 4.75 4.65 4.58 4.58 4.58 4.76 4.66
"2006-11-22" 5.25 5.05 5.15 5.01 4.74 4.63 4.57 4.57 4.57 4.76 4.65
"2006-11-24" 5.21 5.04 5.13 5 4.73 4.62 4.55 4.55 4.55 4.74 4.63
"2006-11-27" 5.22 5.05 5.14 5 4.71 4.6 4.54 4.54 4.54 4.73 4.62
"2006-11-28" 5.27 5.04 5.13 4.98 4.67 4.57 4.5 4.5 4.51 4.7 4.59
"2006-11-29" 5.26 5.04 5.13 4.98 4.69 4.58 4.51 4.51 4.52 4.72 4.61
"2006-11-30" 5.22 5.03 5.1 4.94 4.62 4.52 4.45 4.45 4.46 4.66 4.56
"2006-12-01" 5.21 5.03 5.05 4.87 4.52 4.43 4.39 4.39 4.43 4.64 4.54
"2006-12-04" 5.13 5.01 5.04 4.87 4.52 4.43 4.39 4.39 4.43 4.65 4.55
"2006-12-05" 4.88 4.99 5.03 4.86 4.52 4.43 4.39 4.4 4.45 4.67 4.57
"2006-12-06" 4.91 4.99 5.05 4.9 4.59 4.48 4.44 4.44 4.48 4.69 4.6
"2006-12-07" 4.92 4.98 5.05 4.9 4.58 4.48 4.45 4.45 4.49 4.7 4.6
"2006-12-08" 4.89 4.97 5.08 4.95 4.68 4.57 4.53 4.54 4.56 4.76 4.66
"2006-12-11" 4.85 4.93 5.07 4.94 4.67 4.55 4.5 4.5 4.52 4.73 4.63
"2006-12-12" 4.87 4.93 5.06 4.91 4.61 4.49 4.45 4.45 4.49 4.7 4.6
"2006-12-13" 4.86 4.94 5.07 4.95 4.7 4.6 4.54 4.55 4.58 4.78 4.69
"2006-12-14" 4.87 4.96 5.08 4.97 4.73 4.63 4.58 4.58 4.6 4.81 4.72
"2006-12-15" 4.78 4.91 5.07 4.96 4.73 4.62 4.57 4.57 4.6 4.81 4.72
"2006-12-18" 4.8 4.96 5.09 4.97 4.71 4.62 4.57 4.57 4.6 4.81 4.72
"2006-12-19" 4.84 4.96 5.08 4.96 4.71 4.62 4.57 4.57 4.6 4.82 4.73
"2006-12-20" 4.87 4.96 5.08 4.96 4.71 4.62 4.57 4.57 4.6 4.82 4.73
"2006-12-21" 4.84 4.97 5.06 4.93 4.66 4.57 4.52 4.52 4.55 4.78 4.7
"2006-12-22" 4.82 4.99 5.08 4.96 4.71 4.64 4.59 4.6 4.63 4.85 4.76
"2006-12-26" 4.81 4.99 5.11 4.97 4.71 4.63 4.58 4.59 4.61 4.82 4.73
"2006-12-27" 4.75 4.97 5.1 4.99 4.77 4.69 4.64 4.64 4.66 4.87 4.78
"2006-12-28" 4.74 5 5.1 5.01 4.82 4.72 4.69 4.69 4.7 4.9 4.81
"2006-12-29" 4.75 5.02 5.09 5 4.82 4.74 4.7 4.7 4.71 4.91 4.81
"2007-01-02" 4.79 5.07 5.11 5 4.8 4.71 4.68 4.68 4.68 4.87 4.79
"2007-01-03" 4.84 5.05 5.09 4.98 4.76 4.69 4.66 4.66 4.67 4.85 4.77
"2007-01-04" 4.8 5.04 5.07 4.95 4.71 4.63 4.61 4.61 4.62 4.81 4.72
"2007-01-05" 4.81 5.05 5.09 4.98 4.76 4.68 4.65 4.65 4.65 4.84 4.74
"2007-01-08" 4.87 5.08 5.13 5.01 4.78 4.7 4.66 4.66 4.66 4.84 4.74
"2007-01-09" 4.9 5.08 5.13 5.02 4.79 4.7 4.65 4.65 4.66 4.83 4.74
"2007-01-10" 4.94 5.09 5.13 5.02 4.81 4.72 4.68 4.68 4.69 4.87 4.77
"2007-01-11" 4.99 5.11 5.15 5.05 4.86 4.78 4.73 4.73 4.74 4.92 4.82
"2007-01-12" 4.98 5.09 5.15 5.06 4.88 4.81 4.76 4.76 4.77 4.96 4.86
"2007-01-16" 5 5.11 5.16 5.06 4.86 4.79 4.74 4.74 4.75 4.94 4.85
"2007-01-17" 5.01 5.12 5.16 5.08 4.91 4.83 4.78 4.78 4.79 4.98 4.88
"2007-01-18" 4.97 5.12 5.16 5.07 4.89 4.8 4.75 4.75 4.75 4.94 4.85
"2007-01-19" 4.96 5.14 5.17 5.09 4.93 4.83 4.78 4.78 4.78 4.96 4.87
"2007-01-22" 4.98 5.13 5.18 5.09 4.91 4.82 4.77 4.76 4.76 4.94 4.84
"2007-01-23" 5.02 5.14 5.18 5.1 4.94 4.85 4.81 4.81 4.81 5 4.9
"2007-01-24" 4.99 5.13 5.17 5.09 4.93 4.85 4.81 4.81 4.81 5 4.91
"2007-01-25" 4.97 5.14 5.18 5.11 4.98 4.9 4.85 4.85 4.87 5.06 4.96
"2007-01-26" 4.94 5.13 5.18 5.12 4.99 4.91 4.87 4.87 4.88 5.07 4.98
"2007-01-29" 4.95 5.14 5.19 5.12 4.99 4.93 4.89 4.89 4.9 5.09 4.99
"2007-01-30" 4.99 5.13 5.18 5.11 4.98 4.9 4.86 4.86 4.88 5.07 4.98
"2007-01-31" 5 5.12 5.16 5.09 4.94 4.85 4.82 4.82 4.83 5.02 4.93
"2007-02-01" 4.99 5.13 5.16 5.09 4.96 4.88 4.84 4.84 4.84 5.02 4.93
"2007-02-02" 5.01 5.14 5.16 5.08 4.94 4.87 4.82 4.82 4.83 5.02 4.93
"2007-02-05" 5.06 5.15 5.16 5.08 4.92 4.84 4.8 4.8 4.81 5 4.91
"2007-02-06" 5.14 5.14 5.16 5.07 4.9 4.8 4.76 4.76 4.77 4.96 4.87
"2007-02-07" 5.15 5.15 5.16 5.06 4.87 4.77 4.74 4.73 4.74 4.94 4.86
"2007-02-08" 5.15 5.16 5.16 5.06 4.87 4.77 4.73 4.73 4.73 4.93 4.81
"2007-02-09" 5.15 5.15 5.17 5.08 4.92 4.82 4.78 4.78 4.79 4.98 4.87
"2007-02-12" 5.16 5.18 5.18 5.1 4.94 4.84 4.8 4.8 4.8 5 4.88
"2007-02-13" 5.24 5.17 5.17 5.1 4.95 4.85 4.81 4.81 4.82 5.02 4.9
"2007-02-14" 5.23 5.16 5.16 5.06 4.87 4.77 4.72 4.72 4.74 4.94 4.83
"2007-02-15" 5.23 5.17 5.15 5.04 4.83 4.73 4.68 4.69 4.7 4.91 4.81
"2007-02-16" 5.23 5.17 5.15 5.05 4.83 4.73 4.68 4.68 4.69 4.9 4.79
"2007-02-20" 5.23 5.19 5.16 5.04 4.81 4.71 4.67 4.67 4.68 4.89 4.78
"2007-02-21" 5.27 5.18 5.16 5.05 4.82 4.74 4.68 4.68 4.69 4.9 4.79
"2007-02-22" 5.26 5.19 5.17 5.07 4.87 4.77 4.72 4.72 4.73 4.94 4.83
"2007-02-23" 5.25 5.18 5.17 5.05 4.82 4.71 4.67 4.67 4.68 4.89 4.79
"2007-02-26" 5.23 5.19 5.18 5.05 4.77 4.67 4.62 4.62 4.63 4.84 4.73
